T, PyD, PyDD, PyDT
59.900001, 7.564259, 7.447414, 7.568686
60.000001, 7.564024, 7.449208, 7.568491
60.100001, 7.562235, 7.451472, 7.568421
60.200001, 7.564658, 7.455579, 7.568636
60.300001, 7.564613, 7.458053, 7.568566
60.400001, 7.564798, 7.45496, 7.568051
60.500001, 7.563809, 7.455769, 7.568461
60.600001, 7.563804, 7.453206, 7.566567
60.700001, 7.562655, 7.453745, 7.567542
60.800001, 7.563874, 7.45504, 7.566517
60.900001, 7.564009, 7.45372, 7.568616
61.000001, 7.564084, 7.456574, 7.568556
61.100001, 7.567951, 7.453166, 7.568846
61.200001, 7.565493, 7.45381, 7.568036
61.300001, 7.564853, 7.45458, 7.573558
61.400001, 7.568591, 7.457663, 7.574468
61.500001, 7.569271, 7.459187, 7.572569
61.600001, 7.569176, 7.459842, 7.572384
61.700001, 7.570175, 7.457923, 7.574877
61.800001, 7.566198, 7.461376, 7.572789
61.900001, 7.568991, 7.461161, 7.575117
62.000001, 7.569031, 7.460506, 7.571899
62.100001, 7.568576, 7.459492, 7.574383
